Title of resource,Map type,Coordinate system,Date of ground survey used to compile map,Resource created at,Description,Ellipsoid,Copywright,Publisher,Location of hard copy,Start Date,Map scale,MAEASaM ID,Datum,URL,Sheet history,Resource Type,Author,Map title, Location,Subject,Book or journal information,Year of publication,Projection,Book or journal edition,Format,Language,Recorder,Page numbers,Cartographer,Map creation date,Location of digital copy consulted,Volume,Collection publisher,Name of collection ,End Date,Contributors,ISBN/ISSN,Comment,Source,Project name,Map series code,DOI,Resource last modified at,Map publisher,Developed or maintained by,resourceid
Excavations at Divuyu Tsodilo Hills,,,,2025-06-24,,,,None,,,,INFO-00000360,,http://www.jstor.org/stable/23237958,,Journal article,Denbow James,,,,Botswana Notes and Records,2011-01-01,,None,,,,76-94,,,,43,,,,,None,,,,,None,2025-06-24,,,6013bb5b-7a79-429c-a853-b7bd42467414
Oral Traditions and Archaeology of the Tsodilo Hills Male Hill Cave,,,,2025-06-24,None,,,None,,None,,INFO-00000361,,https://www.jstor.org/stable/40959180,,Journal article,Campbell Alec ; Robbins Lawrence ; Murphy Lynne,,,None,Botswana Notes and Records,1994-01-01,,None,None,English,,37-54,,,,26,None,None,None,None,None,,None,None,,None,2025-06-24,,None,9832049d-15a8-4231-9969-cf6795d3844a
Cultural Landscapes Communities and World Heritage: Pursuit of the Local in the Tsodilo Hills Botswana,,,,2025-06-21,None,,,Left Coast Press,,None,,INFO-00000362,,https://www.researchgate.net/profile/Dan-Hicks-2/publication/41389142_Envisioning_Landscape_Situations_and_Standpoints_in_Archaeology_and_Heritage/links/5774337408aeb9427e242090/Envisioning-Landscape-Situations-and-Standpoints-in-Archaeology-and-Heritage.pdf,,Book section,Keitumetse Susan o ; Matlapeng Geoffrey ; Monamo Leseka,,,None,Envisioning Landscape: Situations and Standpoints in Archaeology and Heritage,2007-01-01,,None,None,English,,101-119,,,,None,None,None,None,None,978-1-59874-281-7,,None,None,,None,2025-06-21,,None,3f6945b4-105d-4fe3-80f4-7b10d2184930
Property Rights and Access to Natural Resources in Conservation Areas of the Okavango Delta Botswana,,,,2025-06-21,None,,,Nova Science Publishers,,None,,INFO-00000363,,https://www.novapublishers.com/wp-content/uploads/2019/05/978-1-61122-302-6_ch7.pdf,,Book section,Kgathi D. l. ; Bolaane m ; Mosojane s,,,None,Rural Livelihoods Risk and Political Economy of Access to Natural Resources in the Okavango Delta Botswana,2011-01-01,,None,None,English,,135-148,,,,None,None,None,None,None,978-1-61122-302-6,,None,None,,None,2025-06-21,,None,27f7da50-105e-4f43-977d-6455a2b814b6
Establishment of Botswanas National Park and Game Reserve System,,,,2025-06-21,,,,None,,,,INFO-00000364,,http://www.jstor.org/stable/40980360 .,,Journal article,Campbell Alec,,,,Botswana Notes and Records,2004-01-01,,None,,,,55-66,,,,36,,,,,None,,,,,None,2025-06-21,,,79203152-2c42-4d0b-bce4-ebf9291fd0ce
Historical Perspectives on Pastoralism and Land Tenure Transformation in Ngamiland Botswana: what are the Policy and Institutional Lessons,,,,2025-06-21,,,,None,,,,INFO-00000365,,https://www.researchgate.net/publication/317328278_Historical_perspectives_on_pastoralism_and_land_tenure_transformation_in_Ngamiland_Botswana_What_are_the_policy_and_institutional_lessons,,Journal article,Basupi Lenyeletse ; Quinn Claire ; Dougill Andrew,,,,Pastoralism: Research Policy and Practice,2017-01-01,,24,,,,1-14,,,,7,,,,,None,,,,,10. 1186/s13570-017-0093-1,2025-06-21,,,cfe53385-e351-494a-a085-a4b2fc845f7f
Migration Missionaries and Contact: Recent Archaeological Research in the Khwebe Hills Botswana,,,,2025-06-21,,,,None,,,,INFO-00000366,,https://www.researchgate.net/publication/273990363_Migration_missionaries_and_contact_recent_archaeological_research_in_the_Khwebe_Hills_Botswana,,Journal article,Ashley Ceri,,,,Archaeology International,2008-01-01,,None,,,,36-41,,,,12,,,,,None,,,,,Http: //dx. doi. org/10. 5334/ai. 1209,2025-06-21,,,0be7b070-7268-480a-a556-359fabc016df
A Note on Recent Archaeological Research Around Gaborone,,,,2025-06-21,,,,None,,,,INFO-00000367,,https://www.researchgate.net/publication/301790333_Variation_in_the_Early_Iron_Age_of_Southeastern_Botswana,,Journal article,Campbell Alec ; Holmberg Gunilla ; Van Waarden Catrien,,,,Botswana Notes and Records,1991-01-01,,None,,,,288-290,,,,23,,,,,None,,,,,None,2025-06-21,,,f005af11-1035-445f-84df-5be4264d5a01
Ancient Metallurgy in the Tswapong Hills Botswana: a Preliminary Report on Archaeological Context,,,,2025-06-20,None,,,None,,None,,INFO-00000368,,https://www.researchgate.net/publication/312935237_Ancient_metallurgy_in_the_Tswapong_Hills_Botswana_A_preliminary_report_on_archaeological_contextenrichId=rgreq-dac0e54a21dd187d21125352728b81d3-XXX&enrichSource=Y292ZXJQYWdlOzMxMjkzNTIzNztBUzo0NTQ3OTk2ODM1MjY2NTZAMTQ4NTQ0NDEwMjQ1Ng%3D%3D&el=1_x_2&_esc=publicationCoverPdf,,Journal article,Huffman Thomas ; Thebe Phenyo ; Watkeys Michael ; Tarduno John,,,None,Southern African Humanities,2017-01-01,,None,None,English,,119–133,,,,28,None,None,None,None,None,,None,None,,None,2025-06-20,,None,6be82b0f-f87f-493c-b2f5-f8e3f6dad71a
Etude Dimpact Environnemental Et Social Des Travaux De Protection De Lile De Goree,,,,2025-06-20,None,,,None,,None,,INFO-00000369,,https://www.wacaprogram.org/sites/default/files/knowdoc/EIES_WACA%20Gor%C3%A9e_Ind%20Finale_DEC2022%20%282%29.pdf,,Report,Waca,,,None,None,2022-01-01,,None,None,Français,,405,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,d9ae08e2-c032-46c5-a891-f443bd2d7aa5
[ Vidéo ] Les Origines De Matam: De Sinthiou Jamm Hara À La Ville Actuelle,,,,2025-06-20,None,,,None,,None,,INFO-00000370,,https://lesoleil.sn/actualites/arts-et-culture/video-les-origines-de-matam-de-sinthiou-jamm-hara-a-la-ville-actuelle/,,Webpage,Gueye Salla,,,None,Le Soleil,2025-01-23,,None,None,Fr-fr,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,7acbd93c-e177-4b0b-8c4d-94b3c48a72df
Richard-toll Et Dagana Au Bord Du Fleuve Sénégal Et Le Ferlo,,,,2025-06-20,None,,,None,,None,,INFO-00000371,,https://www.au-senegal.com/richard-toll-et-dagana-au-bord-du-fleuve-senegal-et-le-ferlo6975.html,,Webpage,Sénégal Au ; Sénégal Le Cœur Du,,,None,Au Sénégal Le Cœur Du Sénégal,2023-05-25,,None,None,French,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,22cc77fa-1ce7-46e4-8bc4-9c18d4c56319
Le Fort De Podor: Un Riche Patrimoine.,,,,2025-06-20,None,,,None,,None,,INFO-00000372,,https://www.ndarinfo.com/Le-Fort-de-Podor-un-riche-patrimoine_a11555.html,,Webpage,Ndarinfo,,,None,Dernières Actualités De Saint-louis Du Sénégal – Ndarinfo. com,None,,None,None,French,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,770ca039-e06d-4fab-b27c-8ce2ee622030
Histoire – Economie – Administration – Podor En Action,,,,2025-06-20,None,,,None,,None,,INFO-00000373,,https://podor-en-action.com/histoire-economie-administration/,,Webpage,None,,,None,None,None,,None,None,Fr-fr,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,62f27dff-6849-4699-8cdc-37623643d9c3
Dagana Le Charme Du Sénégal Profond,,,,2025-06-20,None,,,None,,None,,INFO-00000374,,https://www.afrik.com/dagana-le-charme-du-senegal-profond,,Webpage,Kambell Ismael Cabral,,,None,Afrik,2017-02-26,,None,None,Fr-fr,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,8848f654-8369-412c-8979-20f8c43ac486
Handbook to the Iron Age: the Archaeology of Pre-colonial Farming Societies in Southern Africa,,,,2025-07-03,,,,University of Kwa Zulu-natal Press,,,,INFO-00000375,,None,,Book,Huffman Thomas N.,,,,None,2007-01-01,,None,,,,None,,,,None,,,,,978-1-86914-108-0,,,,,None,2025-07-03,,,0c8c267a-0acb-48a4-b63e-40eca2ed1e6e
Early Farming Communities of the Middle Zambezi Valley,,,,2025-07-03,None,,Copyright Taylor and Francis Group Llc,None,World,None,,INFO-00000376,,https://www.tandfonline.com/doi/abs/10.1080/00672709409511673,,Journal article,Pwiti Gilbert,,,None,Azania: Archaeological Research in Africa,1994-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,10. 1080/00672709409511673,2025-07-03,,None,b8e73c10-3c3a-4158-988c-91253ee3be21
Archives Objects Places and Landscapes: Multidisciplinary Approaches to Decolonised Zimbabwean Pasts,,,,2025-07-03,None,,,African Books Collective,,None,,INFO-00000377,,None,,Book,Manyanga Munyaradzi ; Chirikure Shadreck,,,None,None,2017-04-11,,None,None,English,,None,,,,None,None,None,None,None,978-9956-762-45-3,,None,None,,None,2025-07-03,,None,cdd7f32a-16ad-43ed-81f6-53825f90ba3e
Advent and Course of Pastoralism in the Kalahari,,,,2025-07-03,,,,None,,,,INFO-00000378,,https://www.science.org/doi/abs/10.1126/science.234.4783.1509,,Journal article,Denbow James R. ; Wilmsen Edwin N.,,,,Science,1986-12-19,,4783,,,,1509-1515,,,,234,,,,,None,,,,,10. 1126/science. 234. 4783. 1509,2025-07-03,,,1151bf40-4f3c-439a-aa1a-045f816ebedf
A Bayesian Chronology for Great Zimbabwe: Re-threading the Sequence of a Vandalised Monument,,,,2025-07-03,None,,,None,,None,,INFO-00000379,,https://www.cambridge.org/core/journals/antiquity/article/bayesian-chronology-for-great-zimbabwe-rethreading-the-sequence-of-a-vandalised-monument/0BFAF99EA338FB35BE0056D50BD8BF65,,Journal article,Chirikure Shadreck ; Pollard Mark ; Manyanga Munyaradzi ; Bandama Foreman,,,None,Antiquity,2013-09-01,,337,None,English,,854-872,,,,87,None,None,None,None,None,,None,None,,10. 1017/s0003598x00049516,2025-07-03,,None,d0b825c6-59bc-4922-aec9-4dd9cbebac4e
Farming Communities of the Second Millennium: Internal Frontiers Identity Continuity and Change,,,,2025-07-03,,,,Cambridge University Press,,,,INFO-00000380,,None,,Book section,Hall Simon,,,,The Cambridge History of South Africa,2012-01-01,,None,,,,112-167,,,,1,,,,,978-0-521-51794-2,,,,,None,2025-07-03,,,b32b99c1-3f3e-4c1e-b5f1-d7863acfac00
New Pathways of Sociopolitical Complexity in Southern Africa,,,,2025-07-03,None,,,None,,None,,INFO-00000381,,https://doi.org/10.1007/s10437-013-9142-3,,Journal article,Chirikure Shadreck ; Manyanga Munyaradzi ; Pikirayi Innocent ; Pollard Mark,,,None,African Archaeological Review,2013-12-01,,4,None,English,,339-366,,,,30,None,None,None,None,None,,None,None,,10. 1007/s10437-013-9142-3,2025-07-03,,None,9dd04417-164e-441d-8e57-c70679f28db8
Interregional Interaction in Southern Africa: Zhizo and Leopards Kopje Relations in Northern South Africa Southwestern Zimbabwe and Eastern Botswana Ad 1000 to 1200,,,,2025-07-03,None,,,None,,None,,INFO-00000382,,https://doi.org/10.1023/A:1006796925891,,Journal article,Calabrese John a.,,,None,African Archaeological Review,2000-12-01,,4,None,English,,183-210,,,,17,None,None,None,None,None,,None,None,,10. 1023/a: 1006796925891,2025-07-03,,None,553cc3bb-e109-489e-be66-152f7007c9ee
Material Knowledges Thermodynamic Spaces and the Moloko Sequence of the Late Iron Age (AD 1300-1840) In Southern Africa,,,,2025-07-03,,,,Archaeopress,,,,INFO-00000383,,None,,Book,Fredriksen Per Ditlef,,,,None,2012-01-01,,None,,,,None,,,,None,,,,,978-1-4073-0979-8,,,,,None,2025-07-03,,,373be7cc-35d4-4484-9b8b-0d5ee1af76cf
Decisive Evidence for Multidirectional Evolution of Sociopolitical Complexity in Southern Africa,,,,2025-07-03,None,,,None,,None,,INFO-00000384,,https://doi.org/10.1007/s10437-016-9215-1,,Journal article,Chirikure Shadreck ; Bandama Foreman ; House Michelle ; Moffett Abigail ; Mukwende Tawanda ; Pollard Mark,,,None,African Archaeological Review,2016-03-01,,1,None,English,,75-95,,,,33,None,None,None,None,None,,None,None,,10. 1007/s10437-016-9215-1,2025-07-03,,None,91eac37a-84c8-4593-9ab8-d9590c74e71e
The Late Iron Age,,,,2025-07-03,,,,Pula Press,,,,INFO-00000385,,None,,Book section,Van Waarden Catrien,,,,Ditswa Mmung: the Archaeology of Botswana,1998-01-01,,None,,,,None,,,,None,,,,,99912 60 39 0,,,,,None,2025-07-03,,,ceccc30a-e667-4cef-947a-cd097c48925c
The Zimbabwe Culture and its Neighbours,,,,2025-07-03,,,,Oxford University Press,,,,INFO-00000386,,None,,Book section,Pikirayi Innocent,,,,The Oxford Handbook of African Archaeology,2013-01-01,,None,,,,915-927,,,,None,,,,,978-0-19-175009-0,,,,,None,2025-07-03,,,3ae4a36f-5820-4de0-b56b-62f0b437c601
The Stone Building Cultures of Southern Africa,,,,2025-07-03,,,,Sapes Books,,,,INFO-00000387,,None,,Book section,Pwiti Gilbert ; Kapumha Russell ; Ndoro Webber,,,,Zimbabwean Archaeology in the Post-independence Era,2013-01-01,,None,,,,175-198,,,,None,,,,,978-0-7974-5634-1,,,,,None,2025-07-03,,,34d540b2-c7e3-476b-8b84-34c67892ec79
The Archaeological Identity of the Mutapa State: Towards an Historical Archaeology of Northern Zimbabwe,Thesis Ph d,,None,2025-07-03,,,,Uppsala University,,,None,INFO-00000388,,None,,Unpublished PhD thesis,Pikirayi Innocent,None,None,,None,1994-01-01,None,None,,,,None,None,None,,None,,,,,None,,,,None,None,2025-07-03,None,,9a7d3dc1-f7dd-44d6-bd31-790e662537d8
Defence Consciousness as Way of Life: the Refuge Period and Karanga Defence Strategies in the 19th Century,,,,2025-07-03,,,,None,,,,INFO-00000389,,None,,Journal article,Mazarire G. c.,,,,Zimbabwean Prehistory,2005-01-01,,25,,,,19-26,,,,None,,,,,None,,,,,None,2025-07-03,,,2e170a60-b67c-40c3-a6b1-89289820aacc
The Search for Takrur: Archaeological Excavations and Reconnaissance Along the Middle Senegal Valley,,,,2025-07-03,,,,Yale University Department of Anthropology: Yale Peabody Museum of Natural History and Distributed by Yale University Press,,,,INFO-00000390,,https://cir.nii.ac.jp/crid/1130577121818763671,,Book,Mc Intosh Roderick J. ; Mc Intosh Susan Keech ; Bocoum Hamady,,,,None,2016-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-03,,,f81b3f6d-04b6-4fe7-b1cb-3ca3ef92485c
Territories Fortresses and Shifting Towns: Archaeological Landscapes of the Upper Casamance (Senegal) 7th-19th C,Doctoral Thesis (Ph. D),,None,2025-07-03,,,,Ucl (University College London),,,None,INFO-00000391,,https://discovery.ucl.ac.uk/id/eprint/1496875/,,Unpublished PhD thesis,Canós Donnay Sirio,None,None,,None,2016-01-01,None,None,,,,None,None,None,,None,,,,,None,,,,None,None,2025-07-03,None,,07ceefad-0dd8-4348-a81e-402a613144a2
Ancient Metallurgy in the Tswapong Hills Botswana: a Preliminary Report on Archaeological Context,,,,2025-07-06,,,,None,,,,INFO-00000392,,None,,Journal article,Huffman Thomas ; Thebe Phenyo ; Watkeys Michael ; Tarduno John,,,,Southern African Humanities,2017-01-01,,None,,,,119-152,,,,28,,,,,None,,,,,None,2025-07-06,,,cc93c704-096d-4f45-91f0-f20d3671429c
Revisiting Lekhubu,,,,2025-07-06,,,,None,,,,INFO-00000393,,None,,Book,Van Waarden Catrien,,,,None,2011-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-06,,,b12802e6-171a-45e4-abee-6a527ad6b32d
A Terminal Pleistocene Assemblage from Drotskys Cave Western Ngamiland Botswana,,,,2025-07-06,,,,None,,,,INFO-00000394,,None,,Journal article,Yellen John E. * Brooksï¿½alison S. * * Stuckenrath Robert & Welbourne Robert,,,,Botswana Notes & Records,1987-01-01,,1,,,,1-6,,,,19,,,,,None,,,,,10. 10520/aja052550590_326,2025-07-06,,,83f4a388-ef32-4551-a99d-e09cbff0c2fc
Fascist Colonialism: the Archaeology of Italian Outposts in Western Ethiopia (1936–41),,,,2025-07-06,None,,,None,,None,,INFO-00000395,,https://doi.org/10.1007/s10761-010-0118-6,,Journal article,González-ruibal Alfredo,,,None,International Journal of Historical Archaeology,2010-12-01,,4,None,English,,547-574,,,,14,None,None,None,None,None,,None,None,,10. 1007/s10761-010-0118-6,2025-07-06,,None,8502b034-e1a3-4bb7-bbea-af854de0fd5a
Daily Life in the Land of Bambuk: an Archaeological Study of Political Economy at Diouboye Senegal,,,,2025-07-06,,,,None,,,,INFO-00000396,,https://doi.org/10.1080/0067270X.2013.833723,,Journal article,Gokee Cameron d.,,,,Azania: Archaeological Research in Africa,2013-12-01,,4,,,,547-548,,,,48,,,,,None,,,,,10. 1080/0067270x. 2013. 833723,2025-07-06,,,7f428728-dfa8-44bb-b3c2-8dff67eddc21
Daily Life in the Land of Bambuk: an Archaeological Study of Political Economy at Diouboye Senegal: Azania: Archaeological Research in Africa: Vol 48 no 4 - Get Access,,,,2025-07-06,,,,None,,,,INFO-00000397,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2013.833723,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-06,,,1127b2ed-6b9f-42d4-99d1-e977c5ec3db7
Less Implict Historical Archaeologies: Oral Traditions and Later Karanga Settlement in South-central Zimbabwe,,,,2025-07-06,None,,,Springer Us,,None,,INFO-00000398,,http://link.springer.com/10.1007/978-1-4419-8863-8_9,,Book section,Pikirayi Innocent,,,None,African Historical Archaeologies,2004-01-01,,None,None,English,,243-267,,,,None,None,None,None,None,978-0-306-47996-0 978-1-4419-8863-8,,None,None,,None,2025-07-06,,None,47af2d6d-9dc6-4d09-baf9-c6915de5cd16
The Darfur Sultanate: a History,,,,2025-07-06,,,,Hurst,,,,INFO-00000399,,None,,Book,O Fahey Rex s,,,,None,2008-01-01,,None,,,,None,,,,None,,,,,978-1-85065-853-5,,,,,None,2025-07-06,,,4e70438d-09e7-4375-ac36-45ca0e06a927
A Modern History of Sudan: from the Funj Sultanate to the Present Day,,,,2025-07-06,,,,Weidenfeld and Nicolson,,,,INFO-00000400,,None,,Book,Holt P. m.,,,,None,1961-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-06,,,e24edc4b-feb3-4bcf-af01-959c78ebd883
Polish Research on the People and Cultures of Kordofan - History and the most Recent Results,,,,2025-07-06,,,,Bernardinum,,,,INFO-00000401,,None,,Book section,Malińsk P ; Chlebowski a ; Ahmed A. e.,,,,Collectanea Sudanica,2020-01-01,,None,,,,121-158,,,,2,,,,,None,,,,,None,2025-07-06,,,e4ba9e41-cc59-4ac8-adf8-92f871df34ff
The Malian Lakes Region Redefined: Archaeological Survey of the Gorbi Valley,,,,2025-07-06,None,,,None,,None,,INFO-00000402,,https://www.cambridge.org/core/journals/antiquity/article/malian-lakes-region-redefined-archaeological-survey-of-the-gorbi-valley/130FA79106C62F9C5B1FAAC9C8E6AAAE,,Journal article,Coutros Peter R.,,,None,Antiquity,2017-04-01,,356,None,English,,474-489,,,,91,None,None,None,None,None,,None,None,,10. 15184/aqy. 2017. 30,2025-07-06,,None,2896801b-a39c-499c-93fe-3ba2acee51d8
Tellem Reconnaissance Archéologique Dune Culture De Louest Africain Au Moyen-age: La Poterie,,,,2025-07-06,,,,None,,,,INFO-00000403,,https://www.persee.fr/doc/jafr_0399-0346_1983_num_53_1_2037,,Journal article,Bedaux Rogier ; Lange A. g.,,,,Journal Des Africanistes,1983-01-01,,None,,,,5-59,,,,53,,,,,None,,,,,None,2025-07-06,,,d4dac2e5-8d51-43ab-88a8-cb6d9753c07b
Prehistoric Timbuktu and its Hinterland,,,,2025-07-06,None,,,None,,None,,INFO-00000404,,https://www.cambridge.org/core/journals/antiquity/article/abs/prehistoric-timbuktu-and-its-hinterland/62539C4051FAC0752E4882B8873845EA,,Journal article,Park Douglas Post,,,None,Antiquity,2010-12-01,,326,None,English,,1076-1088,,,,84,None,None,None,None,None,,None,None,,10. 1017/s0003598x00067090,2025-07-06,,None,d6dad5e4-9320-4e47-8db8-7606d000b4f8
Prehistoric Timbuktu and its Hinterland | Antiquity | Cambridge Core,,,,2025-07-06,,,,None,,,,INFO-00000405,,https://www.cambridge.org/core/journals/antiquity/article/abs/prehistoric-timbuktu-and-its-hinterland/62539C4051FAC0752E4882B8873845EA,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-06,,,499a9791-c47c-4281-a2ce-c70f7e8a7719
The Archaeology of Post Medieval Timbuktu,,,,2025-07-06,,,,None,,,,INFO-00000406,,None,,Journal article,Insoll Timothy,,,,Sahara: Prehistory and History of the Sahara,2001-01-01,,None,,,,7-22,,,,13,,,,,None,,,,,None,2025-07-06,,,cdf4522d-1cc6-48a2-a22a-89ee0b7a05c2
Climate Change Human Response and the Origins of Urbanism at Timbuktu: Archaeological Investigations into the Prehistoric Urbanism of the Timbuktu Region on the Niger Bend Mali West Africa,Ph. d.,,None,2025-07-06,None,,Database Copyright Pro Quest Llc ; Pro Quest does not Claim Copyright in the Individual Underlying Works.,Yale University,,None,None,INFO-00000407,,https://www.proquest.com/docview/884637227/abstract/4D3154C4C9894CBEPQ/1,,Unpublished PhD thesis,Park Douglas Post,None,None,None,None,2011-01-01,None,None,None,English,,None,None,None,,None,None,None,None,None,None,,None,None,None,None,2025-07-06,None,None,95793769-0b02-4ece-b337-54478ba1bfb0
Segou: Warfare and the Origins of a State of Slavery,,,,2025-07-06,None,,,None,,None,,INFO-00000408,,https://philpapers.org/rec/MACPIS,,Webpage,Mac Donald Kevin C. ; Camara Seydou,,,None,None,2011-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-07-06,,None,c1d397ce-441e-4510-ab22-5f10eae2b3d9
Complex Societies Urbanism and Trade in the Western Sahel,,,,2025-07-06,,,,Oxford University Press,,,,INFO-00000409,,https://doi.org/10.1093/oxfordhb/9780199569885.013.0057,,Book section,Mac Donald Kevin,,,,The Oxford Handbook of African Archaeology,2013-07-04,,None,,,,0,,,,None,,,,,978-0-19-956988-5,,,,,None,2025-07-06,,,61f4d181-9ab8-4d03-bdeb-f22d113278d2
Ghana Empire of,,,,2025-07-06,,,,Wiley Online Library,,,,INFO-00000410,,https://doi.org/10.1002/9781118455074.wbeoe343,,Book section,Mac Donald Kevin C.,,,,The Encyclopedia of Empire,2016-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-06,,,5cafd7fe-bfaa-4d46-8983-42076abcc2b1
Ghana Empire of - Mac Donald - Major Reference Works - Wiley Online Library,,,,2025-07-06,,,,None,,,,INFO-00000411,,https://onlinelibrary.wiley.com/doi/full/10.1002/9781118455074.wbeoe343,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-06,,,ef34784a-d28b-4006-bd39-bacaae2a21ac
Population Dynamics and Paleoclimate over the Past 3000 Years in the Dogon Country Mali,,,,2025-07-06,,,,None,,,,INFO-00000412,,https://www.sciencedirect.com/science/article/pii/S0278416504000509,,Journal article,Mayor A. ; Huysecom E. ; Gallay A. ; Rasse M. ; Ballouche a.,,,,Journal of Anthropological Archaeology,2005-03-01,,1,,,,25-61,,,,24,,,,,None,,,,,10. 1016/j. jaa. 2004. 08. 003,2025-07-06,,,14cc0d65-fa02-4100-aa88-3b993e0b1903
Excavations at Gao Saney: New Evidence for Settlement Growth Trade and Interaction on the Nige R Bend in the First Millennium Ce,,,,2025-07-06,None,,,None,,None,,INFO-00000413,,https://brill.com/view/journals/jaa/11/1/article-p9_1.xml,,Journal article,Cissé Mamadou ; Mc Intosh Susan Keech ; Dussubieux Laure ; Fenn Thomas ; Gallagher Daphne ; Smith Abigail Chipps,,,None,None,2013-10-25,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,10. 3213/2191-5784-10233,2025-07-06,,None,5ee45957-2b83-42b1-b185-a5297072499c
Excavations at Jenne-jeno Hambarketolo and Kaniana (Inland Niger Delta Mali) The 1981 Season,,,,2025-07-06,,,,University of California Press,,,,INFO-00000414,,None,,Book,None,,,,None,1995-01-01,,None,,,,None,,,,20,,,,,0-520-09785-8,,,,,None,2025-07-06,,,3c663026-ab11-45b7-a03c-92917a5e0835
Archaeology of West Africa,,,,2025-07-05,None,,,None,,None,,INFO-00000415,,https://www.oxfordbibliographies.com/display/document/obo-9780199846733/obo-9780199846733-0212.xml,,Webpage,Swanepoel Natalie,,,None,Oxford Bibliographies,2022-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-07-06,,None,b76d3c53-45fa-4af0-a9d2-757db8509ff8
Korounkorokalé Revisited: the Pays Mande and the West African Microlithic Technocomplex,,,,2025-07-05,None,,,None,,None,,INFO-00000416,,https://doi.org/10.1007/BF02968406,,Journal article,Mac Donald Kevin C.,,,None,African Archaeological Review,1997-09-01,,3,None,English,,161-200,,,,14,None,None,None,None,None,,None,None,,10. 1007/bf02968406,2025-07-05,,None,e2c0d6b8-ba2f-4a33-a954-30fbf7f9c11d
The Windé Koroji Complex: Evidence for the Peopling of the Eastern Inland Niger Delta (2100-500 BC),,,,2025-07-05,,,,None,,,,INFO-00000417,,None,,Journal article,Mac Donald Kevin C.,,,,Préhistoire Anthropologie Méditerranéennes,1996-01-01,,None,,,,147-165,,,,5,,,,,None,,,,,None,2025-07-05,,,98c7b702-3b2c-474b-9a53-2197cfcc726d
Betwixt Tichitt and the Ind: the Pottery of the Faïta Facies Tichitt Tradition,,,,2025-07-05,,,,None,,,,INFO-00000418,,https://doi.org/10.1080/0067270X.2011.553485,,Journal article,Mac Donald K. c.,,,,Azania: Archaeological Research in Africa,2011-04-01,,1,,,,49-69,,,,46,,,,,None,,,,,10. 1080/0067270x. 2011. 553485,2025-07-05,,,514a7ab0-efcc-4b8c-8587-762b2775148f
The Tichitt Tradition in the West African Sahel,,,,2025-07-05,,,,Cambridge University Press,,,,INFO-00000419,,https://www.cambridge.org/core/books/cambridge-world-history/tichitt-tradition-in-the-west-african-sahel/FA8A6F2725008517F6ABD93007B96405,,Book section,Mac Donald Kevin C.,,,,The Cambridge World History: Volume 2: a World with Agriculture 12000 Bce–500 Ce,2015-01-01,,None,,,,499-513,,,,2,,,,,978-0-521-19218-7,,,,,None,2025-07-05,,,4ca74635-93eb-46b4-b91e-0e91299fb2eb
The Archaeology of Early Islamic Trans-saharan Trading Towns in West Africa: a Comparative View and Progressive Methodology from the Entrepot of Essouk-tadmekka,Ph. d.,,None,2025-07-05,None,,Database Copyright Pro Quest Llc ; Pro Quest does not Claim Copyright in the Individual Underlying Works.,University of London University College London (United Kingdom),,None,None,INFO-00000420,,https://www.proquest.com/docview/1426949035/abstract/5429E23433B24CDEPQ/1,,Unpublished PhD thesis,Nixon Sam,None,None,None,None,2008-01-01,None,None,None,English,,None,None,None,,None,None,None,None,None,None,,None,None,None,None,2025-07-05,None,None,6477099e-7aca-49ba-8034-9bd30c7149bd
The Archaeology of Island in Sub-saharan Africa,,,,2025-07-05,None,,,Cambridge University Press,,None,,INFO-00000421,,None,,Book,Insoll Timothy,,,None,None,2003-01-01,,None,None,English,,None,,,,None,None,None,None,None,0 521 65702 4,,None,None,,None,2025-07-05,,None,201b3348-c56b-4504-bea6-79504b23299f
Trans-saharan Trade,,,,2025-07-05,None,,,None,,None,,INFO-00000422,,https://oxfordre.com/africanhistory/display/10.1093/acrefore/9780190277734.001.0001/acrefore-9780190277734-e-176,,Book section,Scheele Judith,,,None,Oxford Research Encyclopedia of African History,2024-08-21,,None,None,English,,None,,,,None,None,None,None,None,978-0-19-027773-4,,None,None,,None,2025-07-05,,None,503ece5a-7031-44ac-8a44-b573ab8d6ae4
