Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Ceramic,Musengenzi ceramics are found predominantly in northern Zimbabwean and are associated with multiple burials in rock shelters crevices or caves interred with a number of pots and bowls as well as other items of material culture. Musengezi ceramics are characterised by wrapped-fibre or bead-impressed decorations. (Pwiti 1996),Musengezi (ceramic),,1100,has broader term (has narrower term),CE,,Primary name,,1599,1100,CHRN-00000350,"Zimbabwe, Primary name",Late farming community period (Southern Africa),, Continuity and Change: an Archaeological Study of Farming Communities in Northern Zimbabwe Ad 500-1700,CE,,1599,207c73fc-5ab7-4474-922f-7951d72ca6d7
Polity,During the 15th Century Great Zimbabwe lost some of its influence in the northern and western parts of the Zimbabwe Plateau with the appearance of other centres constucted along similar lines to Great Zimbabwe. One of which was the formation of the Mutapa State beginning around c.1450 in northern Zimbabwe. The rise of the Mutapa State is captured extensively in Portuguese written sources where early Portuguese explorers in the interior reported stone buildings. Archaeological evidence also indicates the presence of imported artefacts through trade with eastern Africa as well as locally manufactured pottery that have been related to the ethnic group of the Karanga. This has also been attested to by Portuguese records. By the 16th Century African-Portuguese trading posts and settlements are found and associated with locally manufactured pottery as well as traded items including imported ceramics and glass. It is also at the beginning of the 16th Century where stone-building ceases with the emergence of non-stone-walled royal courts. The decline of the Mutapa State has been suggested to be triggered by the exploitative nature of the Portuguese merchants and conquistadores in northern Zimbabwe in connection with goldmining and the subsequent building of fortifications by the late 16th and early 17th century. The crudely built stone defenses or wooden stockades were often erected on hilltops.Ceramic evidence from these hillforts suggest that the Budya or related Tonga groups from the lower Zambezi as the builders.' (Pikirayi 2013),Mutapa State,,1450,has broader term (has narrower term),CE,,Primary name,,1900,1450,CHRN-00000351,"Zimbabwe, Primary name",Late farming community period (Southern Africa),, Polish Research on the People and Cultures of Kordofan - History and the most Recent Results,CE,,1900,b8e833f2-bada-42e3-b812-4196e86f3273
Architectural style,The Nyanga Complex (architectural) represents an agricultural society of industrious farmers and stock-raisers. Sites are mostly characterised by stone-faced terraces covering hills and valleys as well as stone-built homesteads and defensive forts or refuges extending from Ruangwe in the north of Nyanga District to the Pungwe Valley in the south to Cumberland Valley Burnaby in the south west and into Tanda/Chinyika west of the Nyangombe river of Zimbabwe. This covers an area of some 5000 square kilometres. Areas with lesser outlying occurrences are in the Makha area of Mutoko west of Headlands/Weya and south of Chimanimani. The walled villages with linteled entrances in the area northeast of Rusape including at Diana's Vow site and at the site Harleigh Farm are thought to be related to the Nyanga Complex. Ann Kritzinger argues that mining activity not agriculture explains the archaeology of the Nyanga terraces in the Eastern Highland.,Nyanga Complex,,1300,has broader term (has narrower term),CE,,Primary name,,1800,1300,CHRN-00000352,"Zimbabwe, Primary name",Late farming community period (Southern Africa),, Inyanga 1832 B1,CE,,1800,84d95405-6431-4770-ae2b-5bbd41000fc1
Ceramic facies,Olifantspoort ceramic assemblages form part of the second phase of the early Moloko sequence and occurs in the Magaliesberg area of South Africa. The ceramic assemblage is characterised with fine hatching. .,Olifantspoort (ceramic),,1500,has broader term (has narrower term),CE,,Primary name,,1700,1500,CHRN-00000353,"Southern Africa, Primary name",Late farming community period (Southern Africa),, The Search for Takrur: Archaeological Excavations and Reconnaissance Along the Middle Senegal Valley,CE,,1700,52886756-c336-4beb-8415-1b8a51f545d3
Ceramic tradition,"Zhizo related settlements nearly doubled by AD 1000 in the Mhalapye-Palapye area of Botswana. An example of a major capital named Toutswemogala Hill developed. Archaeologists have termed the pottery associated with this phase as Toutswe. Earlier Zhizo pottery in the area have been called Taukome. From Schroda and Ratho Farm in the middle Limpopo Valley and extending further west towards the Kalahari margins lineages established ranked societies minimally chiefdoms especially at Toutswemogala, Taukome and Bosutswe where sites with Zhizo type pottery attest to increased population and considerable social transformation. ",Taukome tradition,,1000,has broader term (has narrower term),CE,,Primary name,,1300,1000,CHRN-00000354,"Botswana, Primary name",Late farming community period (Southern Africa),, Polish Research on the People and Cultures of Kordofan - History and the most Recent Results,CE,,1300,3b4264bb-9e26-4f38-ade0-b42b440661d0
Polity,Between 1050 CE to around 1300 CE several chiefdoms developed and replaced the Zhizo/Taukome tradition. This includes Toutswe which covers southeastern Botswana from Palapye Shoshong to the Mmashoro and Mosu Area and Shoshong. Toutswe pottery is directly derived out of the Zhizo ceramic facies. (van Warden 1998),Toutswe tradition (polity),,1050,has broader term (has narrower term),CE,,Primary name,,1300,1050,CHRN-00000355,"Botswana, Primary name",Late farming community period (Southern Africa),, A Modern History of Sudan: from the Funj Sultanate to the Present Day,CE,,1300,a5d15ea7-055c-4407-b9dd-1e02cf63197c
Ceramic,Woolandale is understood to be phase of Leopard’s Kopje's pottery. It is characterised by graphite burnishing to redslipping just as at Khami.,Woolandale (ceramic),,1250,has broader term (has narrower term),CE,,Primary name,,1400,1250,CHRN-00000356,"Zimbabwe, Primary name",Late farming community period (Southern Africa),, Daily Life in the Land of Bambuk: an Archaeological Study of Political Economy at Diouboye Senegal,CE,,1400,7d7fdba8-dc12-4b9d-9ce6-ffdd49357088
Polity,A period associated with the development of social formations synonymous with ranked forms of organisation that appeared south of the Zambezi from the late first millennium AD marked by the construction of stonewalled monumental architecture and the production of surplus food for people living in un urban centres. Description: The Zimbabwe culture famous for its dry-stone-built capitals is arguably one of the most important cultural developments in the last two millennia of sub-Saharan prehistory/history. (Pikirayi 2013),Zimbabwe tradition,,1200,has broader term (has narrower term),CE,,Primary name,,1450,1200,CHRN-00000357,"Southern Africa, Primary name",Late farming community period (Southern Africa),, Polish Research on the People and Cultures of Kordofan - History and the most Recent Results,CE,,1450,4208b238-3211-4c45-bdc5-dd1922d13507
Architectural style,Mahonje is an architectural and ceramic tradition found predominantly in north-eastern Zimbabwe and linked to numerous hillltop settlements with roughly circular coarse stone enclosures. The enclosures are characteristically equipped with loopholes whose function is not yet clear. Items of Mahonje material culture include imported beads and ceramics. (Pikirayi 1994),Mahonje tradition,,1600,has broader term (has narrower term),CE,,Primary name,,1800,1600,CHRN-00000366,"Zimbabwe, Primary name",Late farming community period (Southern Africa),, Tellem Reconnaissance Archéologique Dune Culture De Louest Africain Au Moyen-age: La Poterie,CE,,1800,86adc6c9-8fb0-4446-9b3d-b0c082f51845
Architectural style,Karanga is an architectural tradition characterised by defensible settlement patterns associated with Karanga-speakers of southern Zimbabwe who were set to repel the Ndebele and Gaza invasions during the 19th century.,Karanga,,1800,has broader term (has narrower term),CE,,Primary name,,1900,1800,CHRN-00000367,"Zimbabwe, Primary name",Late farming community period (Southern Africa),, Prehistoric Timbuktu and its Hinterland,CE,,1900,1d950064-f579-4b85-8016-870ab8a89b14
Material culture,"The identification of early Kaabu (Korop and Payoungou) layers is problematic, as it is largely based on absence of traits belonging to earlier or later periods, rather than on positive evidence. Bearing this caveat in mind, only one horizon was identified as an Early Kaabu occupation'. (Canós Donnay 2016)",Early Kaabu occupation,,1200,has broader term (has narrower term),CE,,Primary name,,1500,1200,CHRN-00000371,"Senegal, Primary name",Lower Casamance habitat sites,, The Archaeology of Post Medieval Timbuktu,CE,,1500,32a307fc-6979-4b44-a1f7-b1822f9e73da
Ceramic,Oral traditions claimed Payoungou and Korop was originally founded by the Bainouk: excavations have shown that human occupation of the site does indeed pre-date Kaabu. Four units yielded pre-Kaabu deposits: PYG-A PYG-C PYG-D PYG-E and KRP-E verifed through a combination of radiocarbon dates and pottery traits.' (Canós Donnay 2016),Pre-Kaabu occupation,,None,has broader term (has narrower term),CE,,Primary name,,1200,..,CHRN-00000372,"Senegal, Primary name",Lower Casamance habitat sites,, The Archaeology of Post Medieval Timbuktu,,,1200,ea192427-1a5a-4c9a-8ecc-7bd30207697d
Ceramic,"Ceramics described with the following decorations: plain, incisions, fingernail impressions. Vessel forms include closed ovoid jars and open globular bowsl. (Diouf 2021)",Sine Saloum phase I (ceramic),,250,has broader term (has narrower term),CE,,Primary name,,400,250,CHRN-00000374,"Senegal, Primary name",Sine Saloum habitat sites,, Takwa ; an Ancient Swahili Settlement of the Lamu Archipelago,CE,,400,e0f07033-4f49-4122-9edf-964483394784
Ceramic,"Ceramics with slip incisions (crosshatching zigzag chevron), fingernail impressions, punctates, fish-vertebrae, rouletting appliquéd cordons. Paste characteristics include medium-coarse (granular paste) to medium-fine sand- grog- or shell tempered. Color range includes buff off-white, light pink, pale orange, dark orange to light brown. Characteristic vessel forms: are as follows - jars with long everted lips plain slipped rims (interior and exterior) or twine decoration (interior lip below rim), wide-everted jars with flat or beveled lip, deep-red or orange slipped rim (interior and exterior), closed or collared oblique jars with slip twine incisions punctates or appliquéd, and open bowls. (Diouf 2021)",Sine Saloum phase II (ceramic),,400,has broader term (has narrower term),CE,,Primary name,,600,400,CHRN-00000375,"Senegal, Primary name",Sine Saloum habitat sites,, Takwa ; an Ancient Swahili Settlement of the Lamu Archipelago,CE,,600,ccfd3e0d-c7e9-4cd4-870b-21e91c215db6
Ceramic,"Ceramics described with the following characteristics: Paste includes sandy gritty paste with a wide variation in texture and firing. Colour ranges between pale orange to dark orange and light brown brown. Characteristic vessel forms include jars with everted lip slip or twine-impressions (interior rim and exterior), collared oblique jars decorated with fish-vertebrae roulette, multiple twine decorations or twine-incisions, and closed ovoid jars with slipped rims. (Diouf 2021)",Sine Saloum phase III (ceramic),,600,has broader term (has narrower term),CE,,Primary name,,1000,600,CHRN-00000376,"Senegal, Primary name",Sine Saloum habitat sites,, Takwa ; an Ancient Swahili Settlement of the Lamu Archipelago,CE,,1000,582476b0-5f38-4a4d-a8cd-9719106f6fe8
Ceramic,"Ceramics characterised with decorations inclusive of incision, comb-dragging, pin incision, fish-vertebrae rouletting, punctate, stamping, appliquéd cordons. Paste characteristics are sandy, gritt (Diy paste with medium to medium-fine texture with sand, shell, organic or grog tempering. Color ranges between pale orange to dark orange, red and light brown, brown, gray and black. Characteristic vessel forms include beveled open bowls or plates, open bowls with twine decoration, jars with short-collared oblique decoration, slipped rim and twine below collar, or multiple decorations involving (slipping, wavy comb-dragging, incisions, appliquéd dots or cordon, and Long-collared oblique jars with slipped rim and twine below collar as well as carinated jars that are burnished. (Diouf 2021)",Sine Saloum phase IV (ceramic),,1000,has broader term (has narrower term),CE,,Primary name,,1400,1000,CHRN-00000377,"Senegal, Primary name",Sine Saloum habitat sites,, Takwa ; an Ancient Swahili Settlement of the Lamu Archipelago,CE,,1400,3a085ef8-a1e5-40a6-92ed-9bf777fe7166
Ceramic,"Ceramics characterised by decorations including slipping, incisions, comb-channeling. Paste characteristics include sandy gritty paste that is well-consolidated and medium-fine with occasional medium textured sand and grog tempering. Color ranges between light-brown and pale orange, buff pale pink and dark orange to brown with generally dark interior. Characteristic vessel forms include closed oblique jars with slipped rim grooves and twine,  closed oblique jars with twine and overlapping incisions and open bowl with slipping twine or comb-channeling. (Diouf 2021)",Sine Saloum phase V (ceramic),,1400,has broader term (has narrower term),CE,,Primary name,,1700,1400,CHRN-00000378,"Senegal, Primary name",Sine Saloum habitat sites,, Takwa ; an Ancient Swahili Settlement of the Lamu Archipelago,CE,,1700,5bf2e240-492d-4f74-b3ef-6ed72104d7bf
Ceramic,The phase consists of ceramics tempered with chamotte. Rims are simple and decorations are made with cord (twisted rolled or braided). They also include blepharis prints. Assemblages can be found at Waalo sites. ,Cubalel-Siwré-Kaskas phase Ia,,200,has broader term (has narrower term),CE,,Primary name,,250,'-200,CHRN-00000380,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,BCE,,250,0c2d266f-fc5a-4ad6-a348-51bea774d970
Ceramic,Phase characterised by simple pottery decorated with pleated or twisted cord. The pottery is tempered with grog. Assemblages are present at most Waalo sites. ,Cubalel-Siwré-Kaskas phase Ib,,250,has broader term (has narrower term),CE,,Primary name,,400,250,CHRN-00000381,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,CE,,400,b7e70d1f-b29b-4231-a6bb-e08a5e95488b
Ceramic,This phase includes pottery with a wide range of decorative patterns. Grog is used for temper but organic temper is also found. Copper appears for the first time in the assemblage. ,Cubalel-Siwré-Kaskas-Sincu Bara-Hombo-Arundu phase IIIb,,600,has broader term (has narrower term),CE,,Primary name,,950,600,CHRN-00000382,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,CE,,950,4bf571b2-9c96-43d0-b948-2c2d127c17b0
Ceramic,Phase IIIa is distinguished by several novelties including the appearance of organic temper and edges surmounted by collars. The decoration becomes increasingly rare. Assemblages are present at both Waalo and Jeeri sites. ,Cubalel-Siwré-Sincu Bara-Hombo-Arundu phase IIIa,,600,has broader term (has narrower term),CE,,Primary name,,800,600,CHRN-00000383,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,CE,,800,fe818a0a-1026-42fd-954c-6b76bb72e088
Ceramic,Dated between 1100 and 950 BC this phase is only present in Diallowalli and is characterised by pottery with simple edges. They are decorated by impressions with braided twisted or folded cord. The incisions and applied decorations are additive motifs. A bone industry is also found which links the Diallowalli site to that of Khant. (Coutros 2017),Diallowalli phase I,,1100,has broader term (has narrower term),BCE,,Primary name,,950,'-1100,CHRN-00000384,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-950,7edaaccd-4360-4380-b2d2-0c28ffbec805
Ceramic,Found at Diallowalli this phase is dominated by single open edges and flared edged pottery. It is generally medium sized and decorated with braided twisted or knotted cord.(Coutros 2017),Diallowalli phase IIa,,950,has broader term (has narrower term),BCE,,Primary name,,900,'-950,CHRN-00000385,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-900,f007dd62-7b60-4479-af44-b4251c1dd640
Ceramic,Found at Diallowalli this phase sees pottery diversify with collared edges and flared edges. The assemblage is also characterised with the increase of the cord wound on a stick and twisted finger impressions incisions and braided cords. Decorations made with shells or clogs start to disappear with the introduction of buttons which gain popularity. (Coutros 2017),Diallowalli phase IIb,,900,has broader term (has narrower term),BCE,,Primary name,,800,'-900,CHRN-00000386,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-800,17f9fc5e-e3da-4d33-940d-ef465e75bf31
Ceramic,Recorded at Diallowalli this phase is characterised by larger vessels in various forms. The ceramics are generally coarse in paste. Decoration includes braided or twisted cords but also includes more numerous decorative patterns later on. The pottery is also slipped. (Coutros 2017) ,Diallowalli phase III,,800,has broader term (has narrower term),BCE,,Primary name,,650,'-800,CHRN-00000387,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-650,c5cf1212-2f1b-48c5-b4fd-53245a3ff5e7
Ceramic,This phase is recorded at the site Diallowalli. During this phase ceramic productions are diversifying with the emergence of rimmed pots. Incisions reappear and braided and knotted cords decrease. (Coutros 2017),Diallowalli phase IV,,650,has broader term (has narrower term),BCE,,Primary name,,500,'-650,CHRN-00000388,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-500,f25322d0-b25f-4c84-a79e-e093d819c3c7
Ceramic,"Recorded at the site of Diallowalli, this pottery is of small or medium size and the paste is fine. The edges are flared and decorations are made with braided and folded cords. Buttons are the most used decorative variant. (Coutros 2017)",Diallowalli phase V,,500,has broader term (has narrower term),BCE,,Primary name,,400,'-500,CHRN-00000389,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-400,d922bedd-e6aa-4747-99e4-00866059f25b
Ceramic,During this phase pottery is defined by the pre-eminence of decoration with impressions of the cord wound on a stick and twisted. Simple edges are more characteristic of openings unlike rare-flared edges. Type assemblage can be found at Walaaldé. (Coutros 2017),Diallowalli-Walaaldé phase I,,800,has broader term (has narrower term),BCE,,Primary name,,550,'-800,CHRN-00000390,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-550,89984a9b-80f0-4e2d-b250-02c1254dcacc
Ceramic,During this phase pottery assemblages are characterised with the increase in incisions and printed combs disappear and cord prints regress. Regarding the openings the flared edges flourish with longer collars.Type assemblage can be found at Walaaldé. ,Diallowalli-Walaaldé phase II,,550,has broader term (has narrower term),BCE,,Primary name,,200,'-550,CHRN-00000391,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Resistance and Accommodation: Ba Kwena-baga Sechele 1842-52,BCE,,'-200,aa0c6159-ec91-4c99-af5b-2ab3b71699ea
Ceramic,This phase is characterised by pottery with an increase in organic temper and a decrease in the use of grog. Decoration becomes simpler and often many vessels are undecorated. This simplicity is marked with the return of flared and simple rims with long collars completely supplanting short collars. Assemblages are mostly identified at Jeeri sites. ,Hombo-Arundu-Diouboye phase IVc,,1400,has broader term (has narrower term),CE,,Primary name,,1650,1400,CHRN-00000392,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,CE,,1650,c03ef262-3462-4deb-809a-79c5d3e116fa
Ceramic,"This phase is mostly identified at Jeeri sites. Pottery is tempered with grog  and organic matter or with only organic matter. The decoration is made with flat fiber cords, single twisted cord, cord on a continuous core, or engobe. The mouth openings are large with simple and flared rims.",Sincu Bara-Hombo-Arundu-Diouboye phase IVa,,950,has broader term (has narrower term),CE,,Primary name,,1200,950,CHRN-00000393,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,CE,,1200,53511282-48f9-412c-9f05-b54ac37b21b0
Ceramic,This phase develops at Jeeri sites. The use of grog temper decreases with an increase in the use of grog and organic matter. Some pottery is undecorated whilst others are decorated with grooves and simple twisted cord. The use of cords and braided cords decrease. Short collars decline in favour of long collars. With flared rims evolving slightly. ,Sincu Bara-Hombo-Arundu-Diouboye phase IVb,,1200,has broader term (has narrower term),CE,,Primary name,,1400,1200,CHRN-00000394,"Senegal, Primary name",Middle Valley habitat sites (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,CE,,1400,2f1fb54a-7068-4d2d-903d-59e334e4e428
,,Western facies (Senegal),,800,has broader term (has narrower term),,,Primary name,,None,800,CHRN-00000396,"Senegal, Primary name",Megalithic (Senegal),, Archaeological Research at Modipe Hill Kgatleng District: Oral Traditions,BP,,None,28be4afe-8e33-440d-a2f2-36ea98796161
,,Eastern facies (Senegal),,1500,has broader term (has narrower term),,,Primary name,,None,1500,CHRN-00000397,"Senegal, Primary name",Megalithic (Senegal),, Archaeological Research at Modipe Hill Kgatleng District: Oral Traditions,BP,,None,5c154622-ee80-4f45-9475-b452c5bdd880
,,Central facies (Senegal),,200?,has broader term (has narrower term),CE,,Primary name,,1000,'-200,CHRN-00000398,"Senegal, Primary name",Megalithic (Senegal),, Variation in the Early Iron Age of Southeastern Botswana.,BCE,,1000,8abe3892-f8e6-4775-b286-706a56d03b92
Ceramic,"This phase is defined by the presence of two decorative techniques: incisions in wavy lines and impressions with braided or twisted cord, the most popular practice at the time. Printing with flat fibers.",Southern shell midden phase I (ceramic),,200,has broader term (has narrower term),,,Primary name,,None,'-200,CHRN-00000404,"Senegal, Primary name",Shell midden phase (Senegal),,,BCE,,None,3bf4e51e-d861-4f90-9494-cae9ee186c0a
Ceramic,This period is characterised by the predominance of decorations made with ropes or braided fibers.,Southern shell midden phase II (ceramic),,200,has broader term (has narrower term),CE,,Primary name,,700,200,CHRN-00000405,"Senegal, Primary name",Shell midden phase (Senegal),,,CE,,700,f623efd0-29bb-463f-b1d1-d7486dc01ab0
Ceramic,This phase is marked by a substantial increase in pottery decorated with tympanotonus (snail shell) impressions.,Southern shell midden phase III (ceramic),,700,has broader term (has narrower term),CE,,Primary name,,1500,700,CHRN-00000406,"Senegal, Primary name",Shell midden phase (Senegal),,,CE,,1500,c55b8498-5ba5-40e4-a316-67a4fcbdd33a
Ceramic,This period is characterised by the use of today’s contemporary pottery such as Diola.,Southern shell midden phase IV (ceramic),,1500,has broader term (has narrower term),CE,,Primary name,,1800,1500,CHRN-00000407,"Senegal, Primary name",Shell midden phase (Senegal),,,CE,,1800,3f6760d1-44a6-4a9d-8b78-80aba70f21fa
,The group of tumuli of the North is dated between 900 and 1000 AD.,Northern group (tumulus),,900,has broader term (has narrower term),CE,,Primary name,,1000,900,CHRN-00000409,"Senegal, Primary name",Tumulus group (Senegal),, The Batswana-boer War of 1852-53: how the Batswana Achieved Victory,CE,,1000,0b9afb6a-9387-4371-819c-d9d35a89e01f
,The southern group of tumuli is dated between 700 and 1000 AD.,Southern group (tumulus),,700,has broader term (has narrower term),CE,,Primary name,,1000,700,CHRN-00000410,"Senegal, Primary name",Tumulus group (Senegal),, The Batswana-boer War of 1852-53: how the Batswana Achieved Victory,CE,,1000,3070c072-6eb1-4c27-b11e-4730ffa0ccb8
Ceramic,"Ceramics share broad similarities with those found in Senegal and the Inland Niger Delta during this period. Phase I ceramics also share certain features, such as rim morphology and occasional use of kaolinite clay, that are characteristic of the ceramics found in stone circle excavations in Senegal which have been dated to the first millennium AD. (Lawson 2003)",Habitation Iron Age Phase I (Gambia),,500,has broader term (has narrower term),CE,,Primary name,,1300,500,CHRN-00000414,"Gambia, Primary name",Habitation Iron Age (Central Gambia),, Preliminary Archaeological Investigations at Phalatswe (Old Palapye) Central District Botswana: the 1995 Season,CE,,1300,2726695e-0fe1-4af7-a6dc-9dc71e3879a5
Ceramic,"Phase II ceramics are often slipped, and in some cases slip is used as paint on or near the rim. Phase II rims tend to be straight or slightly everted. (Lawson 2003)",Habitation Iron Age Phase II (Gambia),,1300,has broader term (has narrower term),CE,,Primary name,,1700,1300,CHRN-00000415,"Gambia, Primary name",Habitation Iron Age (Central Gambia),, Preliminary Archaeological Investigations at Phalatswe (Old Palapye) Central District Botswana: the 1995 Season,CE,,1700,5b817009-fb7e-49a8-a021-305c9dce3f4f
Ceramic,"Phase III ceramics date from roughly 1700 to 1900 AD and conform well to what has been termed the  'subactuel' in Senegal. They are largely undecorated, though some sort of twine decoration is occasionally present. (Lawson 2003)",Habitation Iron Age Phase III (Gambia),,1700,has broader term (has narrower term),CE,,Primary name,,1900,1700,CHRN-00000416,"Gambia, Primary name",Habitation Iron Age (Central Gambia),, Preliminary Archaeological Investigations at Phalatswe (Old Palapye) Central District Botswana: the 1995 Season,CE,,1900,a5c8fee2-01cb-4316-8b75-211bcd7f25e9
,,Early Napatan period,,750,has broader term (has narrower term),BCE,,Primary name,,550,'-750,CHRN-00000432,"Sudan, Primary name",Napatan,,,BCE,,'-550,bbce97a8-ebbb-41ca-8c97-1a6a6685184b
,"The earliest incontrovertible and dateable mention of an Askumite King dates to about 150 years later and occurs not in Askum itself but from Addi Gelamo in the eastern highlands of Tigray. GDR (Ge'ez inscription) or GDRT (inscriptions from southern Arabia). GDR, king of Askum. An estimated date of this inscription is given to c. 200 AD. Phillipson (2012) suggests that the Aksumite Kingdom may have developed by the end of the 2nd century AD.' (Fattovich 2010)",GDR,,200,has broader term (has narrower term),,,Primary name,,None,200,CHRN-00000453,"Ethiopia, Primary name",Early Aksumite phase,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,CE,,None,56bc53cf-36e1-430f-9a7a-cbbd972d05bd
,King of Aksumite prior to mid-6th century AD,Kaleb,,None,has broader term (has narrower term),CE,,Primary name,,550,None,CHRN-00000455,"Ethiopia, Primary name",Middle Aksumite phase,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,,,550,842d8aac-6448-45d4-a63b-ef98b7050d33
,King of Aksumite prior to mid-6th century AD,Endybis,,None,has broader term (has narrower term),CE,,Primary name,,550,None,CHRN-00000457,"Ethiopia, Primary name",Classic Askumite phase,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,,,550,65c990d6-2dc8-47df-8a7d-1980a22d3567
Polity,"Harar was the capital of the sultanate of Adal, the last of the three major Islamic Sultanates that existed in medieval Eastern Ethiopia. (Insoll 2017)",Sultanate of Adal (Harar),,1415,has broader term (has narrower term),CE,,Primary name,,1577,1415,CHRN-00000468,"Ethiopia, Primary name",Medieval Islamic (Ethiopia),, Les Productions Céramiques Protohistoriques De Laire Mégalithique Sénégambienne Dans Le Contexte De L Afrique De L Ouest Aux Ier Et Iie Millénaires De Notre Ère,CE,,1577,4fed28f3-8006-4a30-9184-290a6b54d653
Polity,"The Sultanate of Ifat was a medieval Sunni Muslim state between the late 13th century and early 15th century. Led by the Walashma dynasty, it absorbed the Sultanate of Shewa.' (Insoll 2017)",Sultanate of Ifat (Harar),,1275,has broader term (has narrower term),CE,,Primary name,,1403,1275,CHRN-00000469,"Ethiopia, Primary name",Medieval Islamic (Ethiopia),, Les Productions Céramiques Protohistoriques De Laire Mégalithique Sénégambienne Dans Le Contexte De L Afrique De L Ouest Aux Ier Et Iie Millénaires De Notre Ère,CE,,1403,27d0a620-a808-4f5d-9c3e-920551902595
Polity,The Shewa sultanate was one of the oldest documented Muslim states in the Harar region.,Sultanate of Shewa (Harar),,897,has broader term (has narrower term),CE,,Primary name,,1285,897,CHRN-00000470,"Ethiopia, Primary name",Medieval Islamic (Ethiopia),, Les Productions Céramiques Protohistoriques De Laire Mégalithique Sénégambienne Dans Le Contexte De L Afrique De L Ouest Aux Ier Et Iie Millénaires De Notre Ère,CE,,1285,982b2e63-b58b-4889-b2d0-e1b57f0879db
Polity,"The area of the Red Sea coast, particularly around the long-lasting coastal trading towns of Suakin and Masawwa, was conquered over the 16th century CE by the Ottomans and administered from across the Red sea as part of the Eyalet of Habes/Habesh beginning in the mid 16th century. (Peacock 2018)",Eyalet of Habes,,1517,has broader term (has narrower term),CE,,Primary name,,1880,1517,CHRN-00000481,"Sudan, Primary name",Ottoman presence (River Nile),, Okavango Delta,CE,,1880,93a347e0-7f72-427e-b870-2796e49789e5
Polity,In 1820 Muhammad Ali conquered much of the rest of Sudan - the Ottomans had previously only conquered parts of Northern Sudan. (Edwards 2004),Turkiyya,,1820,has broader term (has narrower term),CE,,Primary name,,1880,1820,CHRN-00000482,"Sudan, Primary name",Ottoman presence (River Nile),, Early Farmers at Nyungwe on the Chobe River in Botswana,CE,,1880,a44a9852-8f21-4a32-aef6-3978628d951d
Ceramic tradition,Ceramic tradition characterised by scraped ware and red-topped ware with an incised herringbone pattern. Also associated with a large residential village-based sedentary or semi-sedentary settlement pattern and some evidence for prestige goods via porphyry maceheads. (Fattovich 2010),Butana group,,3800,has broader term (has narrower term),BCE,,Primary name,,3000,'-3800,CHRN-00000485,"Sudan, Primary name",Kassala phase,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,BCE,,'-3000,9587ecda-82e1-41c1-a06b-8b07f9e5e637
Ceramic tradition,"Ceramic tradition consisting of two major parts - pottery similar to earlier Gash Group ware, and pottery similar to Middle Nubian ware from the Nile Valley. (Fattovich 2010)",Jebel Mokram group,,1500,has broader term (has narrower term),BCE,,Primary name,,700,'-1500,CHRN-00000486,"Sudan, Primary name",Kassala phase,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,BCE,,'-700,8a7a735e-3c7e-426c-a949-50413225f59f
